Size of mesh: 50x50
    X           Y           U           V           P   
0.224490    0.020408   -0.005502    0.000518    1.013816
0.244898    0.020408   -0.006487    0.000525    1.013801
0.265306    0.020408   -0.007478    0.000525    1.013847
0.285714    0.020408   -0.008460    0.000517    1.013957
0.306122    0.020408   -0.009419    0.000502    1.014129
0.326531    0.020408   -0.010341    0.000480    1.014364
0.346939    0.020408   -0.011212    0.000451    1.014662
0.367347    0.020408   -0.012020    0.000414    1.015020
0.387755    0.020408   -0.012751    0.000370    1.015437
0.408163    0.020408   -0.013390    0.000319    1.015910
0.428571    0.020408   -0.013925    0.000261    1.016433
0.448980    0.020408   -0.014344    0.000196    1.017002
0.469388    0.020408   -0.014635    0.000125    1.017609
0.489796    0.020408   -0.014788    0.000049    1.018245
0.510204    0.020408   -0.014795   -0.000032    1.018898
0.530612    0.020408   -0.014650   -0.000115    1.019558
0.551020    0.020408   -0.014352   -0.000198    1.020211
0.571429    0.020408   -0.013901   -0.000281    1.020842
0.591837    0.020408   -0.013302   -0.000360    1.021438
0.612245    0.020408   -0.012564   -0.000433    1.021983
0.632653    0.020408   -0.011700   -0.000498    1.022464
0.653061    0.020408   -0.010727   -0.000552    1.022869
0.673469    0.020408   -0.009666   -0.000594    1.023186
0.693878    0.020408   -0.008541   -0.000622    1.023409
0.714286    0.020408   -0.007379   -0.000634    1.023531
0.734694    0.020408   -0.006209   -0.000629    1.023552
0.755102    0.020408   -0.005061   -0.000607    1.023473
0.775510    0.020408   -0.003966   -0.000569    1.023302
0.795918    0.020408   -0.002950   -0.000515    1.023049
0.816327    0.020408   -0.002041   -0.000447    1.022727
0.836735    0.020408   -0.001262   -0.000367    1.022354
0.857143    0.020408   -0.000630   -0.000279    1.021951
0.877551    0.020408   -0.000157   -0.000185    1.021542
0.897959    0.020408    0.000152   -0.000091    1.021151
0.918367    0.020408    0.000303   -0.000004    1.020806
0.938776    0.020408    0.000314    0.000066    1.020534
0.959184    0.020408    0.000222    0.000104    1.020358
0.979592    0.020408    0.000087    0.000086    1.020292
1.000000    0.020408    0.000000    0.000000    1.020287
0.000000    0.040816    0.000000    0.000000    1.016125
0.020408    0.040816    0.000022   -0.000080    1.016080
0.040816    0.040816   -0.000092    0.000091    1.015950
0.061224    0.040816   -0.000433    0.000373    1.015751
0.081633    0.040816   -0.001038    0.000685    1.015510
0.102041    0.040816   -0.001907    0.000984    1.015253
0.122449    0.040816   -0.003022    0.001250    1.014999
0.142857    0.040816   -0.004349    0.001473    1.014766
0.163265    0.040816   -0.005855    0.001653    1.014565
0.183673    0.040816   -0.007501    0.001790    1.014404
0.204082    0.040816   -0.009251    0.001887    1.014290
0.224490    0.040816   -0.011072    0.001948    1.014227
0.244898    0.040816   -0.012931    0.001976    1.014217
0.265306    0.040816   -0.014799    0.001973    1.014262
0.285714    0.040816   -0.016647    0.001941    1.014363
0.306122    0.040816   -0.018449    0.001881    1.014521
0.326531    0.040816   -0.020178    0.001794    1.014736
0.346939    0.040816   -0.021809    0.001680    1.015006
0.367347    0.040816   -0.023316    0.001538    1.015332
0.387755    0.040816   -0.024673    0.001370    1.015711
0.408163    0.040816   -0.025857    0.001175    1.016141
0.428571    0.040816   -0.026842    0.000954    1.016617
0.448980    0.040816   -0.027607    0.000710    1.017133
0.469388    0.040816   -0.028132    0.000444    1.017684
0.489796    0.040816   -0.028399    0.000160    1.018261
0.510204    0.040816   -0.028395   -0.000138    1.018854
0.530612    0.040816   -0.028112   -0.000443    1.019453
0.551020    0.040816   -0.027545   -0.000749    1.020044
0.571429    0.040816   -0.026698   -0.001050    1.020617
0.591837    0.040816   -0.025581   -0.001337    1.021157
0.612245    0.040816   -0.024210   -0.001602    1.021651
0.632653    0.040816   -0.022610   -0.001837    1.022088
0.653061    0.040816   -0.020811   -0.002034    1.022455
0.673469    0.040816   -0.018851   -0.002186    1.022744
0.693878    0.040816   -0.016774   -0.002287    1.022947
0.714286    0.040816   -0.014628   -0.002331    1.023060
0.734694    0.040816   -0.012464   -0.002317    1.023082
0.755102    0.040816   -0.010335   -0.002244    1.023016
0.775510    0.040816   -0.008294   -0.002112    1.022868
0.795918    0.040816   -0.006391   -0.001924    1.022646
0.816327    0.040816   -0.004673   -0.001688    1.022365
0.836735    0.040816   -0.003179   -0.001411    1.022039
0.857143    0.040816   -0.001941   -0.001105    1.021687
0.877551    0.040816   -0.000980   -0.000782    1.021331
0.897959    0.040816   -0.000302   -0.000460    1.020991
0.918367    0.040816    0.000102   -0.000162    1.020690
0.938776    0.040816    0.000263    0.000081    1.020450
0.959184    0.040816    0.000236    0.000227    1.020290
0.979592    0.040816    0.000106    0.000222    1.020225
1.000000    0.040816    0.000000    0.000000    1.020219
0.000000    0.061224    0.000000    0.000000    1.016373
0.020408    0.061224   -0.000065    0.000031    1.016305
0.040816    0.061224   -0.000388    0.000434    1.016145
0.061224    0.061224   -0.001037    0.001009    1.015942
0.081633    0.061224   -0.002038    0.001631    1.015715
0.102041    0.061224   -0.003386    0.002230    1.015480
0.122449    0.061224   -0.005054    0.002765    1.015254
0.142857    0.061224   -0.007002    0.003220    1.015048
0.163265    0.061224   -0.009184    0.003588    1.014871
0.183673    0.061224   -0.011552    0.003871    1.014731
0.204082    0.061224   -0.014059    0.004072    1.014632
0.224490    0.061224   -0.016658    0.004197    1.014578
0.244898    0.061224   -0.019307    0.004252    1.014571
0.265306    0.061224   -0.021963    0.004241    1.014613
0.285714    0.061224   -0.024586    0.004168    1.014705
0.306122    0.061224   -0.027140    0.004034    1.014848
0.326531    0.061224   -0.029585    0.003840    1.015043
0.346939    0.061224   -0.031886    0.003588    1.015288
0.367347    0.061224   -0.034007    0.003278    1.015583
0.387755    0.061224   -0.035912    0.002911    1.015927
0.408163    0.061224   -0.037567    0.002488    1.016318
0.428571    0.061224   -0.038940    0.002012    1.016751
0.448980    0.061224   -0.040000    0.001486    1.017222
0.469388    0.061224   -0.040721    0.000917    1.017725
0.489796    0.061224   -0.041079    0.000312    1.018253
0.510204    0.061224   -0.041059   -0.000319    1.018796
0.530612    0.061224   -0.040648   -0.000965    1.019345
0.551020    0.061224   -0.039843   -0.001612    1.019888
0.571429    0.061224   -0.038651   -0.002245    1.020414
0.591837    0.061224   -0.037084   -0.002848    1.020911
0.612245    0.061224   -0.035166   -0.003404    1.021367
0.632653    0.061224   -0.032931   -0.003897    1.021769
0.653061    0.061224   -0.030422   -0.004311    1.022108
0.673469    0.061224   -0.027688   -0.004631    1.022375
0.693878    0.061224   -0.024788   -0.004845    1.022564
0.714286    0.061224   -0.021788   -0.004944    1.022669
0.734694    0.061224   -0.018756   -0.004922    1.022692
0.755102    0.061224   -0.015764   -0.004778    1.022633
0.775510    0.061224   -0.012881   -0.004513    1.022499
0.795918    0.061224   -0.010177   -0.004136    1.022298
0.816327    0.061224   -0.007714   -0.003659    1.022042
0.836735    0.061224   -0.005544   -0.003099    1.021747
0.857143    0.061224   -0.003711   -0.002478    1.021427
0.877551    0.061224   -0.002242   -0.001824    1.021102
0.897959    0.061224   -0.001148   -0.001174    1.020791
0.918367    0.061224   -0.000418   -0.000570    1.020513
0.938776    0.061224   -0.000018   -0.000068    1.020285
0.959184    0.061224    0.000116    0.000260    1.020125
0.979592    0.061224    0.000077    0.000322    1.020049
1.000000    0.061224    0.000000    0.000000    1.020033
0.000000    0.081633    0.000000    0.000000    1.016690
0.020408    0.081633   -0.000169    0.000308    1.016592
0.040816    0.081633   -0.000736    0.001063    1.016383
0.061224    0.081633   -0.001735    0.002023    1.016157
0.081633    0.081633   -0.003169    0.003034    1.015924
0.102041    0.081633   -0.005018    0.004000    1.015697
0.122449    0.081633   -0.007245    0.004865    1.015484
0.142857    0.081633   -0.009802    0.005603    1.015293
0.163265    0.081633   -0.012634    0.006203    1.015133
0.183673    0.081633   -0.015685    0.006665    1.015006
0.204082    0.081633   -0.018898    0.006993    1.014917
0.224490    0.081633   -0.022218    0.007196    1.014868
0.244898    0.081633   -0.025591    0.007280    1.014861
0.265306    0.081633   -0.028965    0.007252    1.014898
0.285714    0.081633   -0.032293    0.007118    1.014980
0.306122    0.081633   -0.035525    0.006879    1.015108
0.326531    0.081633   -0.038616    0.006540    1.015282
0.346939    0.081633   -0.041519    0.006101    1.015503
0.367347    0.081633   -0.044189    0.005564    1.015770
0.387755    0.081633   -0.046583    0.004930    1.016082
0.408163    0.081633   -0.048659    0.004203    1.016437
0.428571    0.081633   -0.050376    0.003387    1.016832
0.448980    0.081633   -0.051699    0.002491    1.017264
0.469388    0.081633   -0.052594    0.001523    1.017726
0.489796    0.081633   -0.053035    0.000498    1.018213
0.510204    0.081633   -0.053002   -0.000569    1.018715
0.530612    0.081633   -0.052483   -0.001658    1.019225
0.551020    0.081633   -0.051474   -0.002746    1.019731
0.571429    0.081633   -0.049982   -0.003810    1.020222
0.591837    0.081633   -0.048026   -0.004821    1.020688
0.612245    0.081633   -0.045633   -0.005754    1.021115
0.632653    0.081633   -0.042845   -0.006582    1.021493
0.653061    0.081633   -0.039713   -0.007278    1.021813
0.673469    0.081633   -0.036298   -0.007819    1.022064
0.693878    0.081633   -0.032672   -0.008186    1.022242
0.714286    0.081633   -0.028911   -0.008363    1.022343
0.734694    0.081633   -0.025100   -0.008342    1.022364
0.755102    0.081633   -0.021324   -0.008118    1.022309
0.775510    0.081633   -0.017669   -0.007698    1.022183
0.795918    0.081633   -0.014217   -0.007092    1.021994
0.816327    0.081633   -0.011045   -0.006321    1.021752
0.836735    0.081633   -0.008217   -0.005414    1.021472
0.857143    0.081633   -0.005787   -0.004407    1.021169
0.877551    0.081633   -0.003790   -0.003345    1.020859
0.897959    0.081633   -0.002242   -0.002284    1.020558
0.918367    0.081633   -0.001134   -0.001293    1.020284
0.938776    0.081633   -0.000434   -0.000453    1.020053
0.959184    0.081633   -0.000080    0.000133    1.019878
0.979592    0.081633    0.000022    0.000338    1.019774
1.000000    0.081633    0.000000    0.000000    1.019741
0.000000    0.102041    0.000000    0.000000    1.017040
0.020408    0.102041   -0.000276    0.000767    1.016905
0.040816    0.102041   -0.001102    0.002001    1.016637
0.061224    0.102041   -0.002470    0.003442    1.016376
0.081633    0.102041   -0.004355    0.004914    1.016126
0.102041    0.102041   -0.006717    0.006306    1.015893
0.122449    0.102041   -0.009507    0.007549    1.015682
0.142857    0.102041   -0.012665    0.008609    1.015499
0.163265    0.102041   -0.016129    0.009471    1.015346
0.183673    0.102041   -0.019834    0.010135    1.015226
0.204082    0.102041   -0.023715    0.010604    1.015142
0.224490    0.102041   -0.027710    0.010890    1.015094
0.244898    0.102041   -0.031758    0.011000    1.015085
0.265306    0.102041   -0.035798    0.010944    1.015115
0.285714    0.102041   -0.039775    0.010728    1.015185
0.306122    0.102041   -0.043632    0.010357    1.015297
0.326531    0.102041   -0.047314    0.009834    1.015450
0.346939    0.102041   -0.050768    0.009162    1.015647
0.367347    0.102041   -0.053942    0.008343    1.015886
0.387755    0.102041   -0.056785    0.007381    1.016168
0.408163    0.102041   -0.059247    0.006281    1.016491
0.428571    0.102041   -0.061283    0.005052    1.016853
0.448980    0.102041   -0.062851    0.003704    1.017250
0.469388    0.102041   -0.063914    0.002254    1.017679
0.489796    0.102041   -0.064442    0.000720    1.018132
0.510204    0.102041   -0.064411   -0.000872    1.018602
0.530612    0.102041   -0.063808   -0.002493    1.019082
0.551020    0.102041   -0.062631   -0.004113    1.019560
0.571429    0.102041   -0.060886   -0.005693    1.020027
0.591837    0.102041   -0.058594   -0.007197    1.020471
0.612245    0.102041   -0.055787   -0.008584    1.020880
0.632653    0.102041   -0.052513   -0.009817    1.021243
0.653061    0.102041   -0.048828   -0.010858    1.021551
0.673469    0.102041   -0.044803   -0.011672    1.021794
0.693878    0.102041   -0.040518   -0.012232    1.021967
0.714286    0.102041   -0.036062   -0.012516    1.022065
0.734694    0.102041   -0.031530   -0.012509    1.022086
0.755102    0.102041   -0.027021   -0.012209    1.022033
0.775510    0.102041   -0.022632   -0.011620    1.021910
0.795918    0.102041   -0.018461   -0.010760    1.021725
0.816327    0.102041   -0.014595   -0.009659    1.021488
0.836735    0.102041   -0.011111   -0.008356    1.021212
0.857143    0.102041   -0.008073   -0.006905    1.020912
0.877551    0.102041   -0.005525   -0.005370    1.020601
0.897959    0.102041   -0.003490   -0.003830    1.020297
0.918367    0.102041   -0.001967   -0.002377    1.020013
0.938776    0.102041   -0.000927   -0.001122    1.019763
0.959184    0.102041   -0.000315   -0.000196    1.019561
0.979592    0.102041   -0.000044    0.000242    1.019417
1.000000    0.102041    0.000000    0.000000    1.019360
0.000000    0.122449    0.000000    0.000000    1.017388
0.020408    0.122449   -0.000380    0.001410    1.017215
0.040816    0.122449   -0.001467    0.003257    1.016884
0.061224    0.122449   -0.003209    0.005275    1.016580
0.081633    0.122449   -0.005550    0.007281    1.016303
0.102041    0.122449   -0.008428    0.009152    1.016057
0.122449    0.122449   -0.011778    0.010813    1.015840
0.142857    0.122449   -0.015529    0.012225    1.015656
0.163265    0.122449   -0.019609    0.013372    1.015505
0.183673    0.122449   -0.023945    0.014251    1.015387
0.204082    0.122449   -0.028466    0.014870    1.015303
0.224490    0.122449   -0.033102    0.015238    1.015252
0.244898    0.122449   -0.037785    0.015368    1.015237
0.265306    0.122449   -0.042451    0.015270    1.015257
0.285714    0.122449   -0.047036    0.014951    1.015313
0.306122    0.122449   -0.051476    0.014419    1.015407
0.326531    0.122449   -0.055711    0.013677    1.015540
0.346939    0.122449   -0.059681    0.012729    1.015712
0.367347    0.122449   -0.063327    0.011580    1.015925
0.387755    0.122449   -0.066593    0.010235    1.016178
0.408163    0.122449   -0.069423    0.008701    1.016471
0.428571    0.122449   -0.071767    0.006992    1.016803
0.448980    0.122449   -0.073578    0.005122    1.017171
0.469388    0.122449   -0.074814    0.003114    1.017571
0.489796    0.122449   -0.075443    0.000995    1.017997
0.510204    0.122449   -0.075439   -0.001202    1.018444
0.530612    0.122449   -0.074785   -0.003438    1.018902
0.551020    0.122449   -0.073478   -0.005669    1.019361
0.571429    0.122449   -0.071525   -0.007847    1.019813
0.591837    0.122449   -0.068949   -0.009920    1.020244
0.612245    0.122449   -0.065783   -0.011835    1.020644
0.632653    0.122449   -0.062078   -0.013541    1.021002
0.653061    0.122449   -0.057897   -0.014988    1.021306
0.673469    0.122449   -0.053315   -0.016129    1.021548
0.693878    0.122449   -0.048421   -0.016927    1.021721
0.714286    0.122449   -0.043313   -0.017351    1.021820
0.734694    0.122449   -0.038096   -0.017383    1.021843
0.755102    0.122449   -0.032881   -0.017016    1.021791
0.775510    0.122449   -0.027777   -0.016257    1.021668
0.795918    0.122449   -0.022894   -0.015130    1.021483
0.816327    0.122449   -0.018332   -0.013671    1.021244
0.836735    0.122449   -0.014181   -0.011936    1.020963
0.857143    0.122449   -0.010515   -0.009993    1.020655
0.877551    0.122449   -0.007390   -0.007927    1.020333
0.897959    0.122449   -0.004839   -0.005842    1.020012
0.918367    0.122449   -0.002870   -0.003855    1.019705
0.938776    0.122449   -0.001462   -0.002105    1.019426
0.959184    0.122449   -0.000568   -0.000751    1.019186
0.979592    0.122449   -0.000113    0.000023    1.018993
1.000000    0.122449    0.000000    0.000000    1.018909
0.000000    0.142857    0.000000    0.000000    1.017707
0.020408    0.142857   -0.000481    0.002234    1.017497
0.040816    0.142857   -0.001823    0.004829    1.017101
0.061224    0.142857   -0.003934    0.007524    1.016750
0.081633    0.142857   -0.006727    0.010134    1.016442
0.102041    0.142857   -0.010117    0.012534    1.016176
0.122449    0.142857   -0.014020    0.014650    1.015948
0.142857    0.142857   -0.018352    0.016440    1.015757
0.163265    0.142857   -0.023032    0.017887    1.015602
0.183673    0.142857   -0.027978    0.018991    1.015480
0.204082    0.142857   -0.033113    0.019761    1.015391
0.224490    0.142857   -0.038363    0.020210    1.015334
0.244898    0.142857   -0.043653    0.020350    1.015309
0.265306    0.142857   -0.048912    0.020194    1.015316
0.285714    0.142857   -0.054073    0.019752    1.015356
0.306122    0.142857   -0.059067    0.019032    1.015431
0.326531    0.142857   -0.063828    0.018039    1.015541
0.346939    0.142857   -0.068290    0.016778    1.015689
0.367347    0.142857   -0.072390    0.015254    1.015875
0.387755    0.142857   -0.076066    0.013477    1.016101
0.408163    0.142857   -0.079259    0.011455    1.016367
0.428571    0.142857   -0.081912    0.009207    1.016672
0.448980    0.142857   -0.083975    0.006752    1.017014
0.469388    0.142857   -0.085403    0.004119    1.017390
0.489796    0.142857   -0.086158    0.001345    1.017796
0.510204    0.142857   -0.086212   -0.001530    1.018224
0.530612    0.142857   -0.085546   -0.004454    1.018668
0.551020    0.142857   -0.084153   -0.007372    1.019117
0.571429    0.142857   -0.082041   -0.010222    1.019562
0.591837    0.142857   -0.079230   -0.012939    1.019991
0.612245    0.142857   -0.075757   -0.015455    1.020391
0.632653    0.142857   -0.071671   -0.017704    1.020752
0.653061    0.142857   -0.067039   -0.019621    1.021061
0.673469    0.142857   -0.061943   -0.021148    1.021310
0.693878    0.142857   -0.056476   -0.022234    1.021489
0.714286    0.142857   -0.050743   -0.022840    1.021594
0.734694    0.142857   -0.044861   -0.022942    1.021622
0.755102    0.142857   -0.038949   -0.022528    1.021572
0.775510    0.142857   -0.033131   -0.021607    1.021450
0.795918    0.142857   -0.027528   -0.020206    1.021261
0.816327    0.142857   -0.022253   -0.018372    1.021014
0.836735    0.142857   -0.017412   -0.016173    1.020722
0.857143    0.142857   -0.013091   -0.013695    1.020398
0.877551    0.142857   -0.009360   -0.011045    1.020055
0.897959    0.142857   -0.006263   -0.008350    1.019707
0.918367    0.142857   -0.003819   -0.005755    1.019368
0.938776    0.142857   -0.002019   -0.003424    1.019050
0.959184    0.142857   -0.000828   -0.001545    1.018762
0.979592    0.142857   -0.000183   -0.000325    1.018515
1.000000    0.142857    0.000000    0.000000    1.018402
0.000000    0.163265    0.000000    0.000000    1.017975
0.020408    0.163265   -0.000577    0.003233    1.017727
0.040816    0.163265   -0.002165    0.006710    1.017266
0.061224    0.163265   -0.004634    0.010179    1.016868
0.081633    0.163265   -0.007869    0.013464    1.016526
0.102041    0.163265   -0.011759    0.016445    1.016236
0.122449    0.163265   -0.016202    0.019048    1.015993
0.142857    0.163265   -0.021101    0.021237    1.015791
0.163265    0.163265   -0.026363    0.022998    1.015627
0.183673    0.163265   -0.031900    0.024333    1.015498
0.204082    0.163265   -0.037628    0.025255    1.015400
0.224490    0.163265   -0.043467    0.025778    1.015332
0.244898    0.163265   -0.049338    0.025918    1.015293
0.265306    0.163265   -0.055167    0.025690    1.015284
0.285714    0.163265   -0.060881    0.025106    1.015305
0.306122    0.163265   -0.066407    0.024173    1.015358
0.326531    0.163265   -0.071675    0.022900    1.015444
0.346939    0.163265   -0.076616    0.021292    1.015566
0.367347    0.163265   -0.081163    0.019356    1.015726
0.387755    0.163265   -0.085247    0.017103    1.015925
0.408163    0.163265   -0.088807    0.014547    1.016164
0.428571    0.163265   -0.091782    0.011708    1.016444
0.448980    0.163265   -0.094118    0.008613    1.016763
0.469388    0.163265   -0.095764    0.005297    1.017120
0.489796    0.163265   -0.096679    0.001803    1.017509
0.510204    0.163265   -0.096831   -0.001815    1.017926
0.530612    0.163265   -0.096197   -0.005497    1.018363
0.551020    0.163265   -0.094768   -0.009174    1.018810
0.571429    0.163265   -0.092548   -0.012769    1.019256
0.591837    0.163265   -0.089555   -0.016204    1.019691
0.612245    0.163265   -0.085823   -0.019395    1.020101
0.632653    0.163265   -0.081403   -0.022259    1.020474
0.653061    0.163265   -0.076363   -0.024716    1.020798
0.673469    0.163265   -0.070787   -0.026693    1.021061
0.693878    0.163265   -0.064773   -0.028127    1.021255
0.714286    0.163265   -0.058434   -0.028966    1.021372
0.734694    0.163265   -0.051893   -0.029177    1.021410
0.755102    0.163265   -0.045283   -0.028746    1.021366
0.775510    0.163265   -0.038738   -0.027679    1.021245
0.795918    0.163265   -0.032394   -0.026008    1.021051
0.816327    0.163265   -0.026380   -0.023787    1.020795
0.836735    0.163265   -0.020816   -0.021098    1.020487
0.857143    0.163265   -0.015805   -0.018045    1.020140
0.877551    0.163265   -0.011432   -0.014756    1.019768
0.897959    0.163265   -0.007755   -0.011383    1.019385
0.918367    0.163265   -0.004808   -0.008099    1.019005
0.938776    0.163265   -0.002596   -0.005096    1.018639
0.959184    0.163265   -0.001094   -0.002587    1.018298
0.979592    0.163265   -0.000252   -0.000805    1.017991
1.000000    0.163265    0.000000    0.000000    1.017847
0.000000    0.183673    0.000000    0.000000    1.018169
0.020408    0.183673   -0.000668    0.004399    1.017886
0.040816    0.183673   -0.002491    0.008887    1.017362
0.061224    0.183673   -0.005305    0.013228    1.016916
0.081633    0.183673   -0.008966    0.017259    1.016540
0.102041    0.183673   -0.013340    0.020868    1.016224
0.122449    0.183673   -0.018306    0.023992    1.015962
0.142857    0.183673   -0.023752    0.026600    1.015746
0.163265    0.183673   -0.029577    0.028686    1.015570
0.183673    0.183673   -0.035684    0.030256    1.015428
0.204082    0.183673   -0.041983    0.031328    1.015317
0.224490    0.183673   -0.048389    0.031920    1.015235
0.244898    0.183673   -0.054820    0.032050    1.015179
0.265306    0.183673   -0.061198    0.031737    1.015150
0.285714    0.183673   -0.067446    0.030992    1.015149
0.306122    0.183673   -0.073489    0.029827    1.015178
0.326531    0.183673   -0.079254    0.028248    1.015238
0.346939    0.183673   -0.084668    0.026265    1.015332
0.367347    0.183673   -0.089660    0.023885    1.015463
0.387755    0.183673   -0.094160    0.021121    1.015635
0.408163    0.183673   -0.098101    0.017991    1.015848
0.428571    0.183673   -0.101419    0.014517    1.016104
0.448980    0.183673   -0.104054    0.010733    1.016403
0.469388    0.183673   -0.105954    0.006681    1.016743
0.489796    0.183673   -0.107071    0.002412    1.017120
0.510204    0.183673   -0.107368   -0.002012    1.017530
0.530612    0.183673   -0.106819   -0.006517    1.017966
0.551020    0.183673   -0.105408   -0.011021    1.018417
0.571429    0.183673   -0.103135   -0.015436    1.018874
0.591837    0.183673   -0.100014   -0.019664    1.019323
0.612245    0.183673   -0.096076   -0.023606    1.019753
0.632653    0.183673   -0.091370   -0.027163    1.020148
0.653061    0.183673   -0.085962   -0.030237    1.020496
0.673469    0.183673   -0.079938   -0.032738    1.020784
0.693878    0.183673   -0.073399   -0.034587    1.021001
0.714286    0.183673   -0.066465   -0.035720    1.021139
0.734694    0.183673   -0.059266   -0.036092    1.021193
0.755102    0.183673   -0.051946   -0.035683    1.021161
0.775510    0.183673   -0.044654   -0.034496    1.021044
0.795918    0.183673   -0.037539   -0.032564    1.020848
0.816327    0.183673   -0.030749   -0.029950    1.020580
0.836735    0.183673   -0.024421   -0.026748    1.020253
0.857143    0.183673   -0.018677   -0.023080    1.019879
0.877551    0.183673   -0.013619   -0.019096    1.019473
0.897959    0.183673   -0.009324   -0.014974    1.019048
0.918367    0.183673   -0.005843   -0.010914    1.018619
0.938776    0.183673   -0.003193   -0.007139    1.018198
0.959184    0.183673   -0.001366   -0.003888    1.017799
0.979592    0.183673   -0.000322   -0.001419    1.017428
1.000000    0.183673    0.000000    0.000000    1.017251
0.000000    0.204082    0.000000    0.000000    1.018272
0.020408    0.204082   -0.000754    0.005724    1.017955
0.040816    0.204082   -0.002799    0.011347    1.017371
0.061224    0.204082   -0.005942    0.016655    1.016879
0.081633    0.204082   -0.010009    0.021499    1.016468
0.102041    0.204082   -0.014846    0.025785    1.016126
0.122449    0.204082   -0.020313    0.029461    1.015843
0.142857    0.204082   -0.026286    0.032509    1.015609
0.163265    0.204082   -0.032652    0.034930    1.015417
0.183673    0.204082   -0.039306    0.036739    1.015260
0.204082    0.204082   -0.046154    0.037959    1.015133
0.224490    0.204082   -0.053105    0.038614    1.015031
0.244898    0.204082   -0.060076    0.038727    1.014955
0.265306    0.204082   -0.066984    0.038316    1.014903
0.285714    0.204082   -0.073751    0.037397    1.014876
0.306122    0.204082   -0.080301    0.035982    1.014876
0.326531    0.204082   -0.086556    0.034079    1.014907
0.346939    0.204082   -0.092442    0.031698    1.014971
0.367347    0.204082   -0.097885    0.028848    1.015073
0.387755    0.204082   -0.102812    0.025544    1.015215
0.408163    0.204082   -0.107154    0.021806    1.015401
0.428571    0.204082   -0.110841    0.017662    1.015634
0.448980    0.204082   -0.113812    0.013148    1.015913
0.469388    0.204082   -0.116006    0.008313    1.016238
0.489796    0.204082   -0.117373    0.003218    1.016606
0.510204    0.204082   -0.117870   -0.002067    1.017014
0.530612    0.204082   -0.117463   -0.007457    1.017453
0.551020    0.204082   -0.116130   -0.012857    1.017916
0.571429    0.204082   -0.113866   -0.018163    1.018390
0.591837    0.204082   -0.110677   -0.023263    1.018864
0.612245    0.204082   -0.106589   -0.028039    1.019322
